DisNo.,Depth,
2013-0268-NZL,17,
2013-0206-TWN,17,
2013-0151-AFG,63.8,
2013-0121-HUN,13,
2013-0563-CHN,38.3,
2013-0099-IRN,80,
2013-0099-PAK,80,
2013-0127-JPN,14,
2013-0098-IRN,12,
2013-0561-TWN,19,
2013-0020-IDN,12,
2015-0608-TLS,20,
2015-0415-IDN,18,
2015-0435-CHL,22.44,
2015-0216-MYS,10,
2015-0175-CHN,15,
2015-0175-IND,15,
2015-0175-NPL,15,
2015-0571-AFG,206,
2015-0571-PAK,206,
2015-0528-TJK,22,
2015-0336-COD,10,
2015-0271-CHN,20,
2015-0086-COL,155,
2008-0099-USA,7.9,
2014-0318-USA,11.12,
2010-0158-MEX,9.987,
2023-0749-ISL,,
2013-0029-SLB,24,
2009-0421-IDN,81,
2009-0420-ASM,18,
2009-0420-TON,18,
2009-0420-WSM,18,
2009-0354-IDN,46,
2023-0722-NPL,,
2023-0636-AFG,,
2023-0653-NPL,,
2023-0600-MAR,,
2023-0237-TJK,,
2023-0155-ECU,,
2023-0155-PER,,
2023-0054-SYR,,
2023-0054-TUR,,
2023-0012-IRN,,
2022-0731-NPL,,
2022-0634-IRN,,
2022-0402-IRN,,
2022-0177-ECU,,
2022-0027-AFG,,
2021-0758-ECU,,
2021-0758-PER,,
2021-0738-IRN,,
2021-0654-PAK,,
2021-0511-HTI,,
2021-0095-IRN,,
2021-0003-IDN,,
2020-0572-HRV,,
2020-0579-DZA,,
2020-0106-HRV,,
2019-0572-ALB,,
2019-0522-PHL,,
2019-0529-PHL,,
2019-0460-PAK,,
2019-0362-PHL,,
2019-0162-PHL,,
2018-0426-IRN,,
2018-0254-IDN,,
2018-0352-IDN,,
2018-0055-PNG,,
2017-0451-KGZ,,
2017-0050-PHL,,
2016-0483-SLB,,
2016-0475-IDN,,
2016-0395-NZL,,
2016-0329-TZA,,
2016-0329-UGA,,
2016-0313-ITA,,
2016-0117-ECU,,
2016-0107-JPN,,
2016-0121-JPN,,
2016-0043-TWN,,
2015-0512-KGZ,18,
2015-0476-AFG,231,
2015-0476-IND,231,
2015-0476-PAK,231,
2015-0144-BGD,8.22,
2015-0144-CHN,8.22,
2015-0144-IND,8.22,
2015-0144-NPL,8.22,
2014-0287-IRN,5,
2014-0281-CHN,,
2014-0234-GTM,53,
2014-0234-MEX,53,
2014-0094-CHL,25,
2013-0235-IDN,13,
2013-0140-IND,15,
2013-0116-CHN,14,
2012-0417-MMR,13.7,
2012-0343-CRI,35,
2012-0275-IRN,11,
2012-0162-ITA,10.2,
2012-0152-BGR,10,
2012-0151-TJK,10,
2012-0031-PHL,11,
2011-0397-TUR,18,
2011-0351-BTN,50,
2011-0351-CHN,50,
2011-0351-IND,50,
2011-0351-NPL,50,
2011-0090-CHN,8,
2011-0090-MMR,8,
2011-0090-THA,8,
2011-0068-NZL,5.9,
2010-0574-SRB,,
2010-0563-IDN,20.1,
2010-0169-CHN,17,
2010-0091-CHL,,
2010-0017-HTI,,
2010-0002-TJK,,
2009-0547-MWI,8,
2009-0388-GEO,15,
2009-0249-CHN,7,
2009-0205-HND,19,
2009-0136-ITA,8.8,
2009-0002-CRI,14,
2008-0500-PAK,15,
2008-0454-KGZ,27.4,
2008-0374-CHN,11,
2008-0275-JPN,108,
2008-0242-JPN,7.8,
2008-0192-CHN,19,
2008-0071-IDN,26,
2008-0040-COD,10,
2008-0040-RWA,10,
2008-0001-KGZ,6,
2007-0572-BRB,156,
2007-0572-LCA,156,
2007-0572-MTQ,156,
2007-0565-IDN,20,
2007-0587-CHL,40,
2007-0461-HND,32.8,
2007-0440-IDN,,
2007-0362-PER,39,
2007-0334-RUS,5,
2007-0287-TJK,10,
2007-0258-JPN,12,
2007-0217-CHN,5,
2007-0101-JPN,8,
2007-0087-IDN,11,
1990-0009-PHL,,
1990-0017-IDN,,
1990-0020-BGR,,
1990-0020-ROU,,
1990-0020-SUN,,
1990-0028-PHL,,
1990-0029-PER,,
1990-0031-SUN,,
1990-0033-SDN,,
1990-0033-UGA,,
1990-0034-IRN,,
1990-0040-PHL,,
1990-0093-CHN,,
1990-0099-CHN,,
1990-0105-ITA,,
1990-0118-IRN,,
1990-0165-PAK,,
1990-0169-GRC,,
1990-0170-CRI,,
1990-0186-VUT,,
1990-0187-USA,,
1990-0188-FJI,,
1990-0189-PAK,,
1990-0190-VUT,,
1990-0191-CRI,,
1990-0193-GBR,,
1990-0194-NIC,,
1990-0202-KEN,,
1990-0203-UGA,,
1990-0214-PNG,,
1990-0217-GRC,,
1990-0221-FJI,,
1990-0227-VUT,,
1990-0228-SUN,,
1990-0230-ECU,,
1990-0250-ITA,,
1990-0593-IDN,,
1990-0601-SUN,,
1990-0702-IDN,,
1990-0703-USA,,
1990-0704-ZAF,,
1991-0001-MMR,,
1991-0033-AFG,,
1991-0033-PAK,,
1991-0033-SUN,,
1991-0043-CHN,,
1991-0055-SUN,,
1991-0066-PER,,
1991-0088-CHN,,
1991-0114-CRI,,
1991-0114-PAN,,
1991-0117-SUN,,
1991-0122-GEO,,
1991-0124-IDN,,
1991-0165-IDN,,
1991-0173-PER,,
1991-0192-USA,,
1991-0230-GTM,,
1991-0232-IRQ,,
1991-0284-IRN,,
1991-0293-CRI,,
1991-0368-IND,,
1991-0390-COL,,
1991-0399-ROU,,
1991-0498-AFG,,
1991-0498-SUN,,
1991-0682-YEM,,
1991-0773-CRI,,
1991-0773-PAN,,
1991-0774-ROU,,
1992-0012-DZA,,
1992-0022-TUR,,
1992-0058-PAK,,
1992-0064-COD,,
