DisNo.,Disaster Subtype,External IDs,ISO,Magnitude,Date,Total Deaths,No. Injured,No. Homeless,No. Affected,Total Affected,Development
2009-0573-MWI,Ground movement,USGS:usp000h56x,MWI,6,2009/12/20,3,171,5550,,5721,0
2010-0002-TJK,Ground movement,GLIDE:EQ-2010-000001,TJK,5.4,2010/1/2,,,1134,6706,7840,0
2010-0003-SLB,Ground movement,USGS:usp000h5np,SLB,7.1,2010/1/3,,1,,1125,1126,0
2010-0017-HTI,Ground movement,GLIDE:EQ-2010-000009,HTI,7,2010/1/12,222570,300000,,3400000,3700000,0
2010-0018-IRN,Ground movement,USGS:usp000h678,IRN,5,2010/1/16,,,,750,750,0
2010-0027-USA,Ground movement,USGS:usp000h5we,USA,6.5,2010/1/10,,30,,600,630,1
2010-0064-CHN,Ground movement,USGS:usp000h6t0,CHN,5.1,2010/1/30,1,15,500,10000,10515,0
2010-0087-CHN,Ground movement,USGS:usp000h7nu,CHN,5.2,2010/2/25,,11,,50000,50011,0
2010-0091-CHL,Tsunami,GLIDE:EQ-2010-000034,CHL,8.8,2010/2/27,562,10334,800000,1861222,2671556,0
2010-0093-TUR,Ground movement,USGS:usp000h8x1,TUR,6.1,2010/3/8,51,100,,3500,3600,0
2010-0158-MEX,Ground movement,USGS:ci14607652,MEX,7.2,2010/4/4,2,232,,25000,25232,0
2010-0169-CHN,Ground movement,GLIDE:EQ-2010-000073|USGS:usp000hbbt,CHN,6.9,2010/4/14,2968,12000,100000,,112000,0
2010-0238-IDN,Ground movement,USGS:usp000he3f,IDN,7,2010/6/16,17,,4600,,4600,0
2010-0361-IRN,Ground movement,USGS:usp000hh5v,IRN,5.5,2010/7/30,,274,,,274,0
2010-0363-IRN,Ground movement,USGS:usp000hg74,IRN,5.8,2010/7/20,1,32,,,32,0
2010-0463-NZL,Ground movement,USGS:usp000hk46,NZL,7,2010/9/4,,2,,300000,300002,1
2010-0563-IDN,Tsunami,GLIDE:EQ-2010-000213|USGS:usp000hnj4,IDN,7.8,2010/10/25,530,412,,11452,11864,0
2010-0574-SRB,Ground movement,GLIDE:EQ-2010-000218,SRB,5.5,2010/11/3,2,120,1470,25440,27030,0
2010-0591-IRN,Ground movement,USGS:usp000hp6h,IRN,4.9,2010/11/6,,104,,,104,0
2010-0645-IRN,Ground movement,USGS:usp000hr7k,IRN,6.7,2010/12/20,7,25,,,25,0
2010-0667-CHN,Ground movement,USGS:usp000h682,CHN,4.4,2010/1/17,8,9,,,9,0
2010-0668-TWN,Ground movement,USGS:usp000h8nd,TWN,6.3,2010/3/4,,96,,,96,
2010-0669-AFG,Ground movement,USGS:usp000hbmk,AFG,5.6,2010/4/18,11,70,1000,,1070,0
2010-0672-IRN,Ground movement,USGS:usp000hjuq,IRN,5.8,2010/8/27,3,100,3500,,3600,0
2010-0673-CHN,Ground movement,USGS:usp000hjw4,CHN,4.9,2010/8/29,,14,,5000,5014,0
2011-0030-CHN,Ground movement,USGS:usp000htxw,CHN,4.8,2011/2/1,,1,64500,,64501,0
2011-0068-NZL,Ground movement,GLIDE:EQ-2011-000024|USGS:usp000huvq,NZL,6.1,2011/2/22,181,1500,,300000,301500,1
2011-0079-CHN,Ground movement,USGS:usp000hvm3,CHN,5.5,2011/3/10,25,250,5190,,5440,0
2011-0082-IDN,Tsunami,,IDN,9.1,2011/3/11,1,,95,,95,0
2011-0082-JPN,Tsunami,,JPN,9.1,2011/3/11,19846,5933,,362887,368820,1
2011-0090-CHN,Ground movement,GLIDE:EQ-2011-000031|USGS:usp000hyfx,CHN,6.9,2011/3/24,,12,,9496,9508,0
2011-0090-MMR,Ground movement,GLIDE:EQ-2011-000031|USGS:usp000hyfx,MMR,6.9,2011/3/24,74,125,3152,18000,21277,0
2011-0090-THA,Ground movement,GLIDE:EQ-2011-000031|USGS:usp000hyfx,THA,6.9,2011/3/24,1,16,,,16,0
2011-0104-PAK,Ground movement,USGS:usp000htb4,PAK,7.2,2011/1/18,2,,,1000,1000,0
2011-0130-JPN,Ground movement,USGS:usp000hzf6,JPN,7.1,2011/4/7,2,132,,,132,1
2011-0159-ESP,Ground movement,USGS:usp000j1en,ESP,5.1,2011/5/11,10,300,15000,,15300,0
2011-0170-TUR,Ground movement,USGS:usp000j1up,TUR,5.8,2011/5/19,3,121,10000,,10121,0
2011-0243-KGZ,Ground movement,USGS:usp000j560,KGZ,6.1,2011/7/19,,,,,,0
2011-0243-TJK,Ground movement,USGS:usp000j560,TJK,6.1,2011/7/19,,,,,,0
2011-0243-UZB,Ground movement,USGS:usp000j560,UZB,6.1,2011/7/19,13,,,86,86,0
2011-0351-BTN,Ground movement,GLIDE:EQ-2011-000136|USGS:usp000j88b,BTN,6.9,2011/9/18,1,16,,20000,20016,0
2011-0351-CHN,Ground movement,GLIDE:EQ-2011-000136|USGS:usp000j88b,CHN,6.9,2011/9/18,7,136,5000,,5136,0
2011-0351-IND,Ground movement,GLIDE:EQ-2011-000136|USGS:usp000j88b,IND,6.9,2011/9/18,112,200,75000,500000,575200,0
2011-0351-NPL,Ground movement,GLIDE:EQ-2011-000136|USGS:usp000j88b,NPL,6.9,2011/9/18,7,89,,167860,167949,0
2011-0373-GTM,Ground movement,USGS:usp000j89y,GTM,5.6,2011/9/19,3,,,400,400,0
2011-0387-CHN,Ground movement,USGS:usp000j2v0,CHN,5.1,2011/6/8,,8,,250,258,0
2011-0388-NZL,Ground movement,USGS:usp000j33b,NZL,5.9,2011/6/13,1,45,300,,345,1
2011-0389-IDN,Ground movement,USGS:usp000j7nn,IDN,6.7,2011/9/5,10,,,,,0
2011-0397-TUR,Ground movement,GLIDE:EQ-2011-000162|USGS:usp000j9rr,TUR,7.1,2011/10/23,604,4152,22000,6786,32938,0
2011-0411-CHN,Ground movement,USGS:usp000ja68,CHN,5.6,2011/11/1,,,,143000,143000,0
2011-0443-PER,Ground movement,USGS:usp000ja1p,PER,6.9,2011/10/28,1,106,1705,870,2681,0
2011-0445-PHL,Ground movement,USGS:usp000jagw,PHL,4.9,2011/11/7,,3,,25,28,0
2011-0467-TUR,Ground movement,USGS:usp000jamz,TUR,5.6,2011/11/9,40,30,75,,105,0
2011-0512-MEX,Ground movement,USGS:usp000jc1y,MEX,6.5,2011/12/11,2,2,,150,152,0
2011-0601-CHN,Ground movement,USGS:usp000j6a4,CHN,5.6,2011/8/11,,26,735,855,1616,0
2012-0020-PER,Ground movement,USGS:usp000je5n,PER,6.4,2012/1/30,,145,1385,2905,4435,0
2012-0031-PHL,Ground movement,GLIDE:EQ-2012-000018|USGS:usp000jejw,PHL,6.7,2012/2/6,113,112,,320165,320277,0
2012-0097-IDN,Ground movement,,IDN,8.6,2012/4/11,7,107,,,107,0
2012-0124-MEX,Ground movement,USGS:usp000jghj,MEX,7.4,2012/3/20,2,11,4000,45000,49011,0
2012-0126-CHL,Ground movement,USGS:usp000jgsw,CHL,7.1,2012/3/25,1,14,,24283,24297,0
2012-0142-ITA,Ground movement,USGS:usp000jkn8,ITA,6,2012/5/20,7,50,,11000,11050,1
2012-0151-TJK,Ground movement,GLIDE:EQ-2012-000082|USGS:usp000jkc4,TJK,5.7,2012/5/13,2,,,2531,2531,0
2012-0152-BGR,Ground movement,GLIDE:EQ-2012-000086|USGS:usp000jkrw,BGR,5.6,2012/5/22,,70,,140,210,0
2012-0162-ITA,Ground movement,GLIDE:EQ-2012-000090|USGS:usp000jm2n,ITA,5.8,2012/5/29,17,350,14000,,14350,1
2012-0164-AFG,Ground movement,USGS:usp000jmmc,AFG,5.7,2012/6/11,75,13,570,2965,3548,0
2012-0190-CHN,Ground movement,USGS:usp000jn65,CHN,5.5,2012/6/24,4,394,,33840,34234,0
2012-0191-AZE,Ground movement,USGS:usp000jk44,AZE,5.6,2012/5/7,,50,,15500,15550,0
2012-0275-IRN,Ground movement,GLIDE:EQ-2012-000136|USGS:usp000jq5p,IRN,6.4,2012/8/11,306,2006,,59540,61546,0
2012-0321-PHL,Ground movement,USGS:usp000jrky,PHL,5.7,2012/9/4,,1,,4000,4001,0
2012-0338-CHN,Ground movement,USGS:usp000jncx,CHN,6.3,2012/6/29,,52,,155000,155052,0
2012-0343-CRI,Ground movement,GLIDE:EQ-2012-000160|USGS:usp000jrsw,CRI,7.6,2012/9/5,2,225,,537,762,0
2012-0350-CHN,Ground movement,USGS:usp000jrwu,CHN,5.5,2012/9/7,81,821,,744000,744821,0
2012-0397-CHN,Ground movement,USGS:usp000jp7n,CHN,4.9,2012/7/20,1,2,78,2530,2610,0
2012-0398-IDN,Ground movement,USGS:usp000jqf3,IDN,6.3,2012/8/18,6,43,2355,5485,7883,0
2012-0407-GTM,Ground movement,USGS:usp000jv5f,GTM,7.4,2012/11/7,44,178,,1321564,1321742,0
2012-0417-MMR,Ground movement,GLIDE:EQ-2012-000190|USGS:usp000jvbq,MMR,6.8,2012/11/11,38,231,,1255,1486,0
2012-0431-PHL,Ground movement,USGS:usp000jr83,PHL,7.6,2012/8/31,1,10,,28869,28879,0
2012-0502-IRN,Ground movement,USGS:usp000jwga,IRN,5.8,2012/12/5,6,23,,5500,5523,0
2012-0536-CHN,Ground movement,USGS:usp000jwm5,CHN,5.3,2012/12/7,,,,5500,5500,0
2012-0545-AZE,Ground movement,USGS:usp000jkjw,AZE,5.1,2012/5/18,,,6949,,6949,0
2012-0597-IRN,Ground movement,USGS:usp000jdqd,IRN,5.1,2012/1/19,,238,,,238,0
2012-0604-CHN,Ground movement,USGS:usp000jfyz,CHN,5.9,2012/3/9,,36641,,,36641,0
2013-0020-IDN,Ground movement,USGS:usb000esgn,IDN,6.1,2013/1/22,1,15,,500,515,0
2013-0029-SLB,Tsunami,GLIDE:TS-2013-000015|USGS:usc000f1s0,SLB,8,2013/2/6,10,,,3329,3329,0
2013-0058-COL,Ground movement,USGS:usc000f4ij,COL,6.9,2013/2/9,,15,500,9500,10015,0
2013-0081-CHN,Ground movement,USGS:usc000fff5,CHN,5.2,2013/3/3,,30,10540,417170,427740,0
2013-0098-IRN,Ground movement,USGS:usb000g2y5,IRN,6.4,2013/4/9,37,850,,3500,4350,0
2013-0099-IRN,Ground movement,USGS:usb000g7x7,IRN,7.7,2013/4/16,,27,,,27,0
2013-0099-PAK,Ground movement,USGS:usb000g7x7,PAK,7.7,2013/4/16,41,175,,15000,15175,0
2013-0116-CHN,Ground movement,GLIDE:EQ-2013-000046|USGS:usb000gcdd,CHN,6.6,2013/4/20,198,14785,,2184000,2198785,0
2013-0121-HUN,Ground movement,USGS:usb000gdw3,HUN,4.4,2013/4/14,,,,1800,1800,0
2013-0127-JPN,Ground movement,USGS:usb000g5yg,JPN,5.8,2013/4/12,,32,,8406,8438,1
2013-0140-IND,Ground movement,GLIDE:EQ-2013-000056|USGS:usb000gjhz,IND,5.7,2013/5/1,3,70,,59280,59350,0
2013-0151-AFG,Ground movement,USGS:usb000geu9,AFG,5.5,2013/4/24,18,141,,3390,3531,0
2013-0206-TWN,Ground movement,USGS:usb000hbrt,TWN,6.2,2013/6/2,4,19,,1500,1519,
2013-0235-IDN,Ground movement,GLIDE:EQ-2013-000073|USGS:usb000i4re,IDN,6.1,2013/7/2,48,2532,,53403,55935,0
2013-0242-CHN,Ground movement,USGS:usb000ije3,CHN,5.9,2013/7/22,95,887,,123000,123887,0
2013-0268-NZL,Ground movement,USGS:usb000iivv,NZL,6.5,2013/7/21,,4,,13836,13840,1
2013-0314-CHN,Ground movement,USGS:usb000je5n,CHN,5.6,2013/8/31,3,50,,538000,538050,0
2013-0381-PAK,Ground movement,USGS:usb000jyiv,PAK,7.7,2013/9/24,399,599,,185150,185749,0
2013-0395-PHL,Ground movement,USGS:usb000kdb4,PHL,7.1,2013/10/15,230,976,,3221248,3222224,0
2013-0405-GTM,Ground movement,USGS:usb000jkmw,GTM,6.4,2013/9/7,1,52,,520,572,0
2013-0409-PER,Ground movement,USGS:usb000jzma,PER,7.1,2013/9/25,,29,,7055,7084,0
2013-0436-IDN,Ground movement,USGS:usb000ki9y,IDN,5.4,2013/10/22,1,3,,2735,2738,0
2013-0470-CHN,Ground movement,USGS:usb000l4tb,CHN,5.3,2013/11/22,,,,58300,58300,0
2013-0484-PAK,Ground movement,USGS:usb000k1gb,PAK,6.8,2013/9/28,22,50,,,50,0
2013-0516-IRN,Ground movement,USGS:usb000l7nt,IRN,5.8,2013/11/28,8,120,1500,,1620,0
2013-0555-CHN,Ground movement,USGS:usc000llbt,CHN,5.1,2013/12/16,,,,90500,90500,0
2013-0561-TWN,Ground movement,USGS:usb000ftgc,TWN,5.9,2013/3/27,1,97,,,97,
2013-0563-CHN,Ground movement,USGS:usb000g8qd,CHN,5.1,2013/4/17,,10,,80545,80555,0
2013-0581-CHN,Ground movement,USGS:usb000l8qj,CHN,5,2013/12/1,,,2000,,2000,0
2014-0049-GRC,Ground movement,USGS:usb000m8ch,GRC,6.1,2014/1/26,,23,,2000,2023,0
2014-0054-IRN,Ground movement,USGS:usc000lvhr,IRN,5.2,2014/1/2,1,30,,300,330,0
2014-0086-CHN,Ground movement,USGS:usc000mnvj,CHN,6.9,2014/2/12,,,,450000,450000,0
2014-0094-CHL,Ground movement,GLIDE:EQ-2014-000044|USGS:usc000nzvd,CHL,8.2,2014/4/1,6,,,513387,513387,0
2014-0111-NIC,Ground movement,USGS:usc000pgsi,NIC,6.6,2014/4/11,2,266,,12015,12281,0
2014-0127-MEX,Ground movement,USGS:usb000pq41,MEX,7.2,2014/4/18,,,,381,381,0
2014-0129-CHN,Ground movement,USGS:usc000p61s,CHN,5.4,2014/4/4,,21,,75000,75021,0
2014-0159-THA,Ground movement,USGS:usb000qack,THA,6.1,2014/5/5,1,23,,17500,17523,0
2014-0173-CHN,Ground movement,USGS:usb000r1y6,CHN,5.8,2014/5/24,,15,,225000,225015,0
2014-0174-GRC,Ground movement,USGS:usb000r2hc,GRC,6.9,2014/5/24,3,2,,75000,75002,0
2014-0174-TUR,Ground movement,USGS:usb000r2hc,TUR,6.9,2014/5/24,,324,,,324,0
2014-0177-CHN,Ground movement,USGS:usc000r8xg,CHN,5.9,2014/5/30,,45,,184678,184723,0
2014-0234-GTM,Ground movement,GLIDE:EQ-2014-000096|USGS:usc000rr6a,GTM,6.9,2014/7/7,1,274,9830,84679,94783,0
2014-0234-MEX,Ground movement,GLIDE:EQ-2014-000096|USGS:usc000rr6a,MEX,6.9,2014/7/7,3,,,27000,27000,0
2014-0258-COM,Ground movement,USGS:usc000n9m9,COM,4.8,2014/3/12,,,,10000,10000,0
2014-0281-CHN,Ground movement,GLIDE:EQ-2014-000102,CHN,6.2,2014/8/3,731,3413,,1117100,1120513,0
2014-0287-IRN,Ground movement,GLIDE:EQ-2014-000111|USGS:usb000s3t7,IRN,6,2014/8/18,,250,12000,,12250,0
2014-0288-ECU,Ground movement,USGS:usb000s27f,ECU,5.1,2014/8/13,4,8,,54,62,0
2014-0298-DZA,Ground movement,USGS:usb000rz1p,DZA,5.5,2014/8/1,6,420,,,420,0
2014-0311-ZAF,Ground movement,USGS:usb000s0b3,ZAF,5.4,2014/8/5,1,2,,2000,2002,0
2014-0318-USA,Ground movement,USGS:nc72282711,USA,6.02,2014/8/24,1,250,,3000,3250,1
2014-0334-PER,Ground movement,USGS:usb000sgt1,PER,4.9,2014/9/27,8,4,,600,604,0
2014-0449-CHN,Ground movement,USGS:usb000sjim,CHN,6.1,2014/10/7,1,324,,255000,255324,0
2014-0464-CHN,Ground movement,USGS:usb000syy0,CHN,5.9,2014/11/22,5,65,90,82200,82355,0
2014-0465-JPN,Ground movement,USGS:usb000syza,JPN,6.2,2014/11/22,,41,150,2466,2657,1
2014-0544-CHN,Ground movement,USGS:usc000t48q,CHN,5.6,2014/12/6,1,22,2000,,2022,0
2015-0078-CHN,Ground movement,USGS:usc000ts8t,CHN,5.1,2015/2/22,,,,8640,8640,0
2015-0086-COL,Ground movement,USGS:us10001ldx,COL,6.2,2015/3/10,,1,400,40835,41236,0
2015-0125-CHN,Ground movement,USGS:usc000tu67,CHN,5.2,2015/3/1,,32,2000,,2032,0
2015-0144-BGD,Ground movement,GLIDE:EQ-2015-000048|USGS:us20002926,BGD,7.8,2015/4/25,4,200,,,200,0
2015-0144-CHN,Ground movement,GLIDE:EQ-2015-000048|USGS:us20002926,CHN,7.8,2015/4/25,29,383,7500,200000,207883,0
2015-0144-IND,Ground movement,GLIDE:EQ-2015-000048|USGS:us20002926,IND,7.8,2015/4/25,78,560,,,560,0
2015-0144-NPL,Ground movement,GLIDE:EQ-2015-000048|USGS:us20002926,NPL,7.8,2015/4/25,8831,17932,,5621790,5639722,0
2015-0175-CHN,Ground movement,USGS:us20002ejl,CHN,7.3,2015/5/12,1,,,,,0
2015-0175-IND,Ground movement,USGS:us20002ejl,IND,7.3,2015/5/12,20,,,,,0
2015-0175-NPL,Ground movement,USGS:us20002ejl,NPL,7.3,2015/5/12,138,2428,,,2428,0
2015-0216-MYS,Ground movement,USGS:us20002m5s,MYS,6,2015/6/5,24,10,,,10,0
2015-0271-CHN,Ground movement,USGS:us10002n4w,CHN,6.4,2015/7/3,4,48,,3000,3048,0
2015-0336-COD,Ground movement,USGS:us10002zzr,COD,5.5,2015/8/6,3,30,100,260,390,0
2015-0415-IDN,Ground movement,USGS:us20003nqr,IDN,6.6,2015/9/24,,62,,12185,12247,0
2015-0435-CHL,Tsunami,USGS:us20003k7a,CHL,8.3,2015/9/16,19,15,,681484,681499,0
2015-0476-AFG,Ground movement,GLIDE:EQ-2015-000147|USGS:us10003re5,AFG,7.5,2015/10/26,115,58080,34645,,92725,0
2015-0476-IND,Ground movement,GLIDE:EQ-2015-000147|USGS:us10003re5,IND,7.5,2015/10/26,,10,,,10,0
2015-0476-PAK,Ground movement,GLIDE:EQ-2015-000147|USGS:us10003re5,PAK,7.5,2015/10/25,280,1745,133900,366945,502590,0
2015-0512-KGZ,Ground movement,GLIDE:EQ-2015-000158|USGS:us10003yzt,KGZ,5.6,2015/11/17,,,5290,11490,16780,0
2015-0528-TJK,Ground movement,USGS:us100044k6,TJK,7.2,2015/12/7,2,14,,7962,7976,0
2015-0571-AFG,Ground movement,USGS:us100049i1,AFG,6.3,2015/12/25,,12,395,,407,0
2015-0571-PAK,Ground movement,USGS:us100049i1,PAK,6.3,2015/12/25,3,85,,,85,0
2015-0608-TLS,Ground movement,USGS:us200041ty,TLS,6.5,2015/11/4,,3,2000,,2003,0
2016-0002-BGD,Ground movement,,BGD,6.7,2016/1/3,5,70,,,70,0
2016-0002-IND,Ground movement,,IND,6.7,2016/1/3,8,308,,10500,10808,0
2016-0019-IDN,Ground movement,,IDN,5.5,2016/1/16,,8,,360,368,0
2016-0043-TWN,Ground movement,GLIDE:EQ-2016-000012,TWN,6.4,2016/2/6,117,525,,,525,
2016-0100-PAK,Ground movement,,PAK,6.6,2016/4/10,6,42,,100,142,0
2016-0107-JPN,Ground movement,GLIDE:EQ-2016-000033,JPN,6.5,2016/4/14,9,800,,120000,120800,1
2016-0117-ECU,Ground movement,GLIDE:EQ-2016-000035,ECU,7.8,2016/4/16,672,6274,,383090,389364,0
2016-0121-JPN,Ground movement,GLIDE:EQ-2016-000033,JPN,7.3,2016/4/16,49,1684,23985,272763,298432,1
2016-0151-ECU,Ground movement,,ECU,6.8,2016/5/18,1,87,,60,147,0
2016-0251-TJK,Ground movement,,TJK,5.4,2016/7/1,,,,155,155,0
2016-0298-PER,Ground movement,,PER,5.3,2016/8/14,4,67,,11115,11182,0
2016-0313-ITA,Ground movement,GLIDE:EQ-2016-000095,ITA,6.2,2016/8/24,296,400,,4454,4854,0
2016-0329-TZA,Ground movement,GLIDE:EQ-2016-000098,TZA,5.9,2016/9/10,17,440,,139161,139601,0
2016-0329-UGA,Ground movement,GLIDE:EQ-2016-000098,UGA,5.9,2016/9/10,4,,590,,590,0
2016-0335-MKD,Ground movement,,MKD,5.1,2016/9/11,,100,,,100,0
2016-0341-KOR,Ground movement,,KOR,5.4,2016/9/12,,32,,29800,29832,1
2016-0357-ITA,Ground movement,,ITA,6.1,2016/10/26,1,24,,3003,3027,0
2016-0358-ITA,Ground movement,,ITA,6.5,2016/10/30,,20,,22272,22292,0
2016-0383-MMR,Ground movement,,MMR,6.8,2016/8/24,4,2,,1150,1152,0
2016-0395-NZL,Tsunami,GLIDE:EQ-2016-000116,NZL,7.8,2016/11/14,2,50,,,50,1
2016-0458-IDN,Ground movement,,IDN,5.9,2016/8/1,,,,3410,3410,0
2016-0464-PER,Ground movement,,PER,6.3,2016/12/1,1,17,40,200,257,0
2016-0475-IDN,Ground movement,GLIDE:EQ-2016-000127,IDN,6.5,2016/12/7,104,857,,85161,86018,0
2016-0480-CHN,Ground movement,,CHN,6.6,2016/11/25,1,,,37200,37200,0
2016-0483-SLB,Ground movement,GLIDE:EQ-2016-000128,SLB,7.8,2016/12/8,,1,,9769,9770,0
2016-0492-JPN,Ground movement,,JPN,6.2,2016/10/21,,7,6,480,493,1
2016-0493-USA,Ground movement,,USA,5,2016/11/7,,,,120,120,1
2016-0526-CHN,Ground movement,,CHN,5.9,2016/12/8,,,120,9000,9120,0
2016-0536-CHN,Ground movement,,CHN,4.8,2016/5/18,2,,5000,,5000,0
2016-0537-PHL,Ground movement,,PHL,6.7,2016/3/30,8,202,,,202,0
2017-0015-ITA,Ground movement,,ITA,5.3,2017/1/18,29,11,,,11,0
2017-0050-PHL,Ground movement,GLIDE:EQ-2017-000016,PHL,6.7,2017/2/10,8,202,,16655,16857,0
2017-0113-CHN,Ground movement,,CHN,5,2017/3/26,,1,2105,,2106,0
2017-0124-CHN,Ground movement,,CHN,5.4,2017/5/11,8,23,4560,,4583,0
2017-0140-PHL,Ground movement,,PHL,5.9,2017/4/8,,,,25000,25000,0
2017-0182-GRC,Ground movement,,GRC,6.3,2017/6/12,1,11,,720,731,0
2017-0204-IRN,Ground movement,,IRN,5.6,2017/5/13,3,417,1845,,2262,0
2017-0247-PHL,Ground movement,,PHL,6.5,2017/7/6,3,448,,16052,16500,0
2017-0280-GRC,Ground movement,,GRC,6.7,2017/7/21,2,120,,,120,0
2017-0280-TUR,Ground movement,,TUR,6.7,2017/7/21,,360,,,360,0
2017-0331-CHN,Ground movement,,CHN,6.5,2017/8/8,29,525,300,217500,218325,0
2017-0349-ITA,Ground movement,,ITA,4.3,2017/8/23,2,42,,2600,2642,0
2017-0382-GTM,Ground movement,,GTM,7.7,2017/9/8,,2,81,3518,3601,0
2017-0382-MEX,Ground movement,,MEX,8.1,2017/9/8,98,250,,1200000,1200250,0
2017-0387-MEX,Ground movement,,MEX,7.1,2017/9/17,369,6000,,250000,256000,0
2017-0443-KOR,Ground movement,,KOR,5.4,2017/11/15,,57,,5000,5057,1
2017-0446-IRN,Ground movement,,IRN,7.3,2017/11/12,444,9000,,200000,209000,0
2017-0446-IRQ,Ground movement,,IRQ,7.3,2017/11/12,10,469,,5500,5969,0
2017-0451-KGZ,Ground movement,GLIDE:EQ-2017-000050,KGZ,5.9,2017/5/3,,,,5000,5000,0
2017-0513-CHN,Ground movement,,CHN,6.4,2017/11/18,,3,,23400,23403,0
2017-0521-IRN,Ground movement,,IRN,4.9,2017/12/20,2,120,,,120,0
2017-0530-IDN,Ground movement,,IDN,6.5,2017/12/15,4,36,,8859,8895,0
2018-0011-PER,Ground movement,,PER,7.1,2018/1/14,2,139,1295,7885,9319,0
2018-0031-IDN,Ground movement,,IDN,6,2018/1/23,1,11,,13800,13811,0
2018-0055-PNG,Ground movement,GLIDE:EQ-2018-000020,PNG,7.5,2018/2/26,145,300,,544000,544300,0
2018-0059-TWN,Ground movement,,TWN,6.4,2018/2/6,84,285,,,285,
2018-0183-JPN,Ground movement,,JPN,5.5,2018/6/18,5,417,,20298,20715,1
2018-0215-CHN,Ground movement,,CHN,5.1,2018/5/28,,,,12000,12000,0
2018-0254-IDN,Ground movement,GLIDE:EQ-2018-000122,IDN,6.4,2018/7/29,14,135,,102717,102852,0
2018-0257-IDN,Ground movement,,IDN,6.9,2018/8/5,564,1584,70000,445343,516927,0
2018-0281-IRN,Ground movement,,IRN,5.9,2018/7/22,,287,,4755,5042,0
2018-0302-IDN,Ground movement,,IDN,6.9,2018/8/19,10,24,,755,779,0
2018-0310-IRN,Ground movement,,IRN,6,2018/8/26,2,255,3000,10000,13255,0
2018-0315-MEX,Ground movement,,MEX,7.2,2018/2/16,,4,,3000,3004,0
2018-0316-PNG,Ground movement,,PNG,,2018/3/5,11,,,,,0
2018-0317-PNG,Ground movement,,PNG,6.7,2018/3/7,25,,,,,0
2018-0321-SLV,Ground movement,,SLV,5.6,2018/5/6,,,,2499,2499,0
2018-0323-CHN,Ground movement,,CHN,5,2018/8/13,,24,,18000,18024,0
2018-0330-JPN,Ground movement,,JPN,6.6,2018/9/6,41,680,,5600,6280,1
2018-0352-IDN,Tsunami,GLIDE:EQ-2018-000122,IDN,7.5,2018/9/28,4140,,,2000000,2000000,0
2018-0360-HTI,Ground movement,,HTI,5.9,2018/10/6,17,421,,38915,39336,0
2018-0426-IRN,Ground movement,GLIDE:EQ-2018-000415,IRN,6.3,2018/11/25,,716,,,716,0
2019-0023-CHL,Ground movement,,CHL,6.7,2019/1/19,2,,,780,780,0
2019-0085-IDN,Ground movement,,IDN,5.4,2019/2/28,,48,,1715,1763,0
2019-0096-CHN,Ground movement,,CHN,4.9,2019/2/25,2,12,27,32733,32772,0
2019-0109-IDN,Ground movement,,IDN,5.8,2019/3/17,9,45,,1250,1295,0
2019-0162-PHL,Ground movement,GLIDE:EQ-2019-000036,PHL,6.1,2019/4/22,25,282,,15273,15555,0
2019-0232-ALB,Ground movement,,ALB,5.2,2019/6/1,,4,,300,304,0
2019-0233-SLV,Ground movement,,SLV,6.6,2019/5/30,1,,,160,160,0
2019-0243-ECU,Ground movement,,ECU,8,2019/5/26,,15,,,15,0
2019-0243-PER,Ground movement,,PER,8,2019/5/26,2,15,,4257,4272,0
2019-0259-CHN,Ground movement,,CHN,5.8,2019/6/17,13,220,,244000,244220,0
2019-0271-PNG,Ground movement,,PNG,7.6,2019/5/14,,1,,650,651,0
2019-0299-IRN,Ground movement,,IRN,5.7,2019/7/8,1,100,2000,,2100,0
2019-0306-USA,Ground movement,,USA,7.1,2019/7/5,,,,150,150,1
2019-0322-JPN,Ground movement,,JPN,6.4,2019/6/18,,28,,432,460,1
2019-0334-IDN,Ground movement,,IDN,7.2,2019/7/14,8,134,5880,5790,11804,0
2019-0356-PHL,Ground movement,,PHL,5.5,2019/7/13,,52,,9525,9577,0
2019-0362-PHL,Ground movement,GLIDE:EQ-2019-000086,PHL,6,2019/7/27,9,64,,2963,3027,0
2019-0377-IDN,Ground movement,,IDN,6.9,2019/8/2,6,4,,2100,2104,0
2019-0444-ALB,Ground movement,,ALB,5.6,2019/9/21,,108,,4500,4608,0
2019-0451-IDN,Ground movement,,IDN,6.5,2019/9/26,31,179,,247239,247418,0
2019-0460-PAK,Ground movement,GLIDE:EQ-2019-000117,PAK,5.6,2019/9/24,39,746,,129652,130398,0
2019-0475-ECU,Ground movement,,ECU,7.5,2019/2/22,,9,15,225,249,0
2019-0479-TUR,Ground movement,,TUR,5.7,2019/9/26,1,34,,1419,1453,0
2019-0489-PHL,Ground movement,,PHL,6.4,2019/10/16,7,215,,3068,3283,0
2019-0520-CHN,Ground movement,,CHN,5.1,2019/9/8,1,63,396,15123,15582,0
2019-0522-PHL,Ground movement,GLIDE:EQ-2019-000129,PHL,6.6,2019/10/29,10,395,,25630,26025,0
2019-0529-PHL,Ground movement,GLIDE:EQ-2019-000129,PHL,6.5,2019/10/31,23,417,,260286,260703,0
2019-0551-FRA,Ground movement,,FRA,5.3,2019/11/11,,4,,750,754,1
2019-0553-IRN,Ground movement,,IRN,5.9,2019/11/8,6,584,,22500,23084,0
