DisNo.,Disaster Subtype,External IDs,ISO,Magnitude,Date,Total Deaths,No. Injured,No. Homeless,No. Affected,Total Affected,Development
1997-0240-IDN,Ground movement,,IDN,6,1997/9/28,20,300,,2805,3105,0
1997-0247-CHL,Ground movement,,CHL,6.8,1997/10/14,8,98,13000,40000,53098,0
1997-0281-BGD,Ground movement,,BGD,5.9,1997/11/22,23,200,,,200,0
1997-0326-CHN,Ground movement,,CHN,6.6,1997/4/6,9,89,,500000,500089,0
1997-0368-ARM,Ground movement,,ARM,4.2,1997/7/18,,,,15000,15000,0
1997-0531-CHN,Ground movement,,CHN,5.2,1997/3/1,2,6,20000,,20006,0
1997-0532-CHN,Ground movement,,CHN,5.8,1997/4/11,9,89,100000,,100089,0
1997-0533-IRN,Ground movement,,IRN,6.2,1997/6/25,,,500,25000,25500,0
1997-0534-ZAF,Ground movement,,ZAF,5,1997/7/21,15,46,,,46,0
1998-0026-AFG,Ground movement,,AFG,5.9,1998/2/4,2323,818,,32000,32818,0
1998-0043-IRN,Ground movement,,IRN,6.6,1998/3/14,5,50,,1450,1500,0
1998-0076-CHN,Ground movement,,CHN,6.2,1998/1/10,49,12000,44000,542000,598000,0
1998-0078-ITA,Ground movement,,ITA,5.2,1998/4/3,,5,,900,905,1
1998-0084-IRN,Ground movement,,IRN,5.8,1998/4/10,12,30,,2905,2935,0
1998-0110-AUT,Ground movement,,AUT,5.7,1998/4/12,,,,,,1
1998-0110-SVN,Ground movement,,SVN,5.7,1998/4/12,,,700,,700,0
1998-0152-AFG,Ground movement,,AFG,6.6,1998/5/30,4700,1935,45000,70000,116935,0
1998-0169-BOL,Ground movement,,BOL,6.6,1998/5/22,95,50,6900,11100,18050,0
1998-0201-TUR,Ground movement,,TUR,6.3,1998/6/28,145,1600,88000,1500000,1589600,0
1998-0206-AZO,Ground movement,,AZO,6.2,1998/7/8,10,100,1000,,1100,
1998-0207-TUR,Ground movement,,TUR,5.1,1998/7/4,,1016,,,1016,0
1998-0215-AZE,Ground movement,,AZE,5.7,1998/7/9,1,10,,700000,700010,0
1998-0220-PNG,Tsunami,,PNG,7,1998/7/17,2182,668,,9199,9867,0
1998-0353-ECU,Ground movement,,ECU,7.2,1998/8/4,3,40,750,1250,2040,0
1998-0384-CHN,Ground movement,,CHN,5.6,1998/11/19,3,1543,23600,312300,337443,0
1998-0385-IRN,Ground movement,,IRN,5.4,1998/11/13,5,105,,4250,4355,0
1998-0403-IDN,Ground movement,,IDN,7.7,1998/11/29,33,88,2560,3800,6448,0
1998-0454-CHN,Ground movement,,CHN,4.5,1998/12/1,,84,,107000,107084,0
1998-0579-AFG,Ground movement,,AFG,6.4,1998/2/20,,,,,,0
1998-0579-PAK,Ground movement,,PAK,6.4,1998/2/20,1,11,600,,611,0
1998-0580-CHN,Ground movement,,CHN,5.4,1998/3/19,,,2000,,2000,0
