ISO,year
NIC,2014
MEX,2014
CHN,2014
THA,2014
CHN,2014
GRC,2014
TUR,2014
CHN,2014
GTM,2014
MEX,2014
COM,2014
CHN,2014
IRN,2014
ECU,2014
DZA,2014
ZAF,2014
USA,2014
PER,2014
CHN,2014
CHN,2014
JPN,2014
CHN,2014
CHN,2015
COL,2015
CHN,2015
BGD,2015
CHN,2015
IND,2015
NPL,2015
CHN,2015
IND,2015
NPL,2015
MYS,2015
CHN,2015
COD,2015
IDN,2015
CHL,2015
AFG,2015
IND,2015
PAK,2015
KGZ,2015
TJK,2015
AFG,2015
PAK,2015
TLS,2015
BGD,2016
IND,2016
IDN,2016
TWN,2016
PAK,2016
JPN,2016
ECU,2016
JPN,2016
ECU,2016
TJK,2016
PER,2016
ITA,2016
TZA,2016
UGA,2016
MKD,2016
KOR,2016
ITA,2016
ITA,2016
MMR,2016
NZL,2016
IDN,2016
PER,2016
IDN,2016
CHN,2016
SLB,2016
JPN,2016
USA,2016
CHN,2016
CHN,2016
PHL,2016
ITA,2017
PHL,2017
CHN,2017
CHN,2017
PHL,2017
GRC,2017
IRN,2017
PHL,2017
GRC,2017
TUR,2017
CHN,2017
ITA,2017
GTM,2017
MEX,2017
MEX,2017
KOR,2017
IRN,2017
IRQ,2017
KGZ,2017
CHN,2017
IRN,2017
IDN,2017
PER,2018
IDN,2018
PNG,2018
TWN,2018
JPN,2018
CHN,2018
IDN,2018
IDN,2018
IRN,2018
IDN,2018
IRN,2018
MEX,2018
PNG,2018
PNG,2018
SLV,2018
CHN,2018
JPN,2018
IDN,2018
HTI,2018
IRN,2018
CHL,2019
IDN,2019
CHN,2019
IDN,2019
PHL,2019
ALB,2019
SLV,2019
ECU,2019
PER,2019
CHN,2019
PNG,2019
IRN,2019
USA,2019
JPN,2019
IDN,2019
PHL,2019
PHL,2019
IDN,2019
ALB,2019
IDN,2019
PAK,2019
ECU,2019
TUR,2019
PHL,2019
CHN,2019
PHL,2019
PHL,2019
FRA,2019
IRN,2019
ALB,2019
PHL,2019
PRI,2020
TUR,2020
IRN,2020
TUR,2020
HRV,2020
PRI,2020
IDN,2020
CHN,2020
TUR,2020
TUR,2020
MEX,2020
PHL,2020
GRC,2020
TUR,2020
HRV,2020
DZA,2020
ARG,2021
IDN,2021
IRN,2021
JPN,2021
GRC,2021
JPN,2021
IDN,2021
CHN,2021
IRN,2021
BTN,2021
IND,2021
CHN,2021
IDN,2021
CHN,2021
TJK,2021
PER,2021
HTI,2021
CHN,2021
MEX,2021
GRC,2021
PAK,2021
IDN,2021
IRN,2021
ECU,2021
PER,2021
IDN,2021
CHN,2021
LAO,2021
CHN,2022
IDN,2022
AFG,2022
IDN,2022
CHN,2022
HTI,2022
PER,2022
GTM,2022
IDN,2022
JPN,2022
ECU,2022
BIH,2022
CHN,2022
AFG,2022
PAK,2022
IRN,2022
CHN,2022
PER,2022
PHL,2022
CHN,2022
PNG,2022
IDN,2022
TWN,2022
MEX,2022
MEX,2022
IRN,2022
PHL,2022
NPL,2022
IDN,2022
TUR,2022
USA,2022
IDN,2022
IRN,2022
IRN,2022
SYR,2022
TUR,2022
IDN,2022
SYR,2022
TUR,2022
SYR,2022
TUR,2022
ECU,2022
PER,2022
AFG,2022
PAK,2022
IRN,2022
PNG,2022
TJK,2022
CHN,2022
JPN,2022
FRA,2022
IDN,2022
CHN,2022
MAR,2022
AFG,2022
NPL,2022
AFG,2022
NPL,2022
PHL,2022
ISL,2022
PHL,2022
PHL,2022
CHN,2022
JPN,2022
CHN,2022
KAZ,2022
PNG,2022
IDN,2022
TWN,2022
IDN,2022
IRN,2022
PER,2022
PHL,2022
IDN,2022
TUR,2022
CUB,2022
