DisNo.,Disaster Subtype,External IDs,ISO,Magnitude,Date,Total Deaths,No. Injured,No. Homeless,No. Affected,Total Affected,Development,Depth
1997-0534-ZAF,Ground movement,,ZAF,5.0,1997/7/21,15.0,46.0,,,46.0,0.0,
1998-0026-AFG,Ground movement,,AFG,5.9,1998/2/4,2323.0,818.0,,32000.0,32818.0,0.0,
1998-0043-IRN,Ground movement,,IRN,6.6,1998/3/14,5.0,50.0,,1450.0,1500.0,0.0,
1998-0076-CHN,Ground movement,,CHN,6.2,1998/1/10,49.0,12000.0,44000.0,542000.0,598000.0,0.0,
1998-0078-ITA,Ground movement,,ITA,5.2,1998/4/3,,5.0,,900.0,905.0,1.0,
1998-0084-IRN,Ground movement,,IRN,5.8,1998/4/10,12.0,30.0,,2905.0,2935.0,0.0,
1998-0110-AUT,Ground movement,,AUT,5.7,1998/4/12,,,,,,1.0,
1998-0110-SVN,Ground movement,,SVN,5.7,1998/4/12,,,700.0,,700.0,0.0,
1998-0152-AFG,Ground movement,,AFG,6.6,1998/5/30,4700.0,1935.0,45000.0,70000.0,116935.0,0.0,
1998-0169-BOL,Ground movement,,BOL,6.6,1998/5/22,95.0,50.0,6900.0,11100.0,18050.0,0.0,
1998-0201-TUR,Ground movement,,TUR,6.3,1998/6/28,145.0,1600.0,88000.0,1500000.0,1589600.0,0.0,
1998-0206-AZO,Ground movement,,AZO,6.2,1998/7/8,10.0,100.0,1000.0,,1100.0,,
1998-0207-TUR,Ground movement,,TUR,5.1,1998/7/4,,1016.0,,,1016.0,0.0,
1998-0215-AZE,Ground movement,,AZE,5.7,1998/7/9,1.0,10.0,,700000.0,700010.0,0.0,
1998-0220-PNG,Tsunami,,PNG,7.0,1998/7/17,2182.0,668.0,,9199.0,9867.0,0.0,
1998-0353-ECU,Ground movement,,ECU,7.2,1998/8/4,3.0,40.0,750.0,1250.0,2040.0,0.0,
1998-0384-CHN,Ground movement,,CHN,5.6,1998/11/19,3.0,1543.0,23600.0,312300.0,337443.0,0.0,
1998-0385-IRN,Ground movement,,IRN,5.4,1998/11/13,5.0,105.0,,4250.0,4355.0,0.0,
1998-0403-IDN,Ground movement,,IDN,7.7,1998/11/29,33.0,88.0,2560.0,3800.0,6448.0,0.0,
1998-0454-CHN,Ground movement,,CHN,4.5,1998/12/1,,84.0,,107000.0,107084.0,0.0,
1998-0579-AFG,Ground movement,,AFG,6.4,1998/2/20,,,,,,0.0,
1998-0579-PAK,Ground movement,,PAK,6.4,1998/2/20,1.0,11.0,600.0,,611.0,0.0,
1998-0580-CHN,Ground movement,,CHN,5.4,1998/3/19,,,2000.0,,2000.0,0.0,
1998-0581-CHN,Ground movement,,CHN,5.6,1998/5/28,,28.0,10000.0,15000.0,25028.0,0.0,
1998-0582-CHN,Ground movement,,CHN,6.4,1998/8/27,3.0,7.0,18000.0,93855.0,111862.0,0.0,
1998-0583-IDN,Ground movement,,IDN,6.4,1998/9/28,1.0,,190.0,310.0,500.0,0.0,
1998-0584-ALB,Ground movement,,ALB,5.0,1998/10/1,,,,2100.0,2100.0,0.0,
1998-0585-IRN,Ground movement,,IRN,5.4,1998/10/5,,,,500.0,500.0,0.0,
1998-0586-NIC,Ground movement,,NIC,4.4,1998/3/25,,3.0,10.0,225.0,238.0,0.0,
1998-0587-CHN,Ground movement,,CHN,4.7,1998/10/26,,28.0,,3500.0,3528.0,0.0,
1998-0588-TUR,Ground movement,,TUR,4.5,1998/12/14,2.0,,100.0,590.0,690.0,0.0,
1999-0016-COL,Ground movement,,COL,6.2,1999/1/25,1186.0,8563.0,452370.0,745000.0,1205933.0,0.0,
1999-0047-RUS,Ground movement,,RUS,3.2,1999/2/2,,,240.0,6000.0,6240.0,0.0,
1999-0054-AFG,Ground movement,,AFG,6.0,1999/2/11,70.0,500.0,31275.0,60185.0,91960.0,0.0,
1999-0065-IRN,Ground movement,,IRN,6.6,1999/3/4,1.0,,70.0,2620.0,2690.0,0.0,
1999-0099-IND,Ground movement,,IND,6.6,1999/3/28,100.0,394.0,105500.0,372000.0,477894.0,0.0,
1999-0150-IRN,Ground movement,,IRN,7.0,1999/5/6,20.0,100.0,4000.0,,4100.0,0.0,
1999-0196-AZE,Ground movement,,AZE,5.4,1999/6/4,1.0,18.0,8400.0,750.0,9168.0,0.0,
1999-0208-MEX,Ground movement,,MEX,6.5,1999/6/15,15.0,200.0,,16000.0,16200.0,0.0,
1999-0228-BGD,Ground movement,,BGD,5.2,1999/7/22,6.0,200.0,15000.0,,15200.0,0.0,
1999-0268-TUR,Ground movement,,TUR,7.6,1999/8/17,17127.0,43953.0,600000.0,715000.0,1358953.0,0.0,
1999-0302-GRC,Ground movement,,GRC,5.8,1999/9/7,143.0,2000.0,108.0,113031.0,115139.0,0.0,
1999-0314-TUR,Ground movement,,TUR,5.8,1999/9/13,6.0,422.0,,,422.0,0.0,
1999-0321-TWN,Ground movement,,TWN,7.7,1999/9/21,2264.0,8664.0,100000.0,,108664.0,,
1999-0360-MEX,Ground movement,,MEX,7.5,1999/9/30,31.0,215.0,,115000.0,115215.0,0.0,
1999-0376-TUR,Ground movement,,TUR,5.2,1999/10/5,,103.0,,,103.0,0.0,
1999-0383-CHN,Ground movement,,CHN,5.1,1999/3/11,,3.0,1000.0,15000.0,16003.0,0.0,
1999-0384-PER,Ground movement,,PER,6.8,1999/4/3,1.0,50.0,,1500.0,1550.0,0.0,
1999-0385-MEX,Ground movement,,MEX,6.3,1999/6/21,,,,6500.0,6500.0,0.0,
1999-0386-TUR,Ground movement,,TUR,5.2,1999/8/31,1.0,166.0,,,166.0,0.0,
1999-0405-TWN,Ground movement,,TWN,5.9,1999/10/22,1.0,254.0,,,254.0,,
1999-0434-PER,Ground movement,,PER,4.4,1999/10/31,,30.0,1050.0,5500.0,6580.0,0.0,
1999-0445-TUR,Ground movement,,TUR,7.2,1999/11/11,3.0,200.0,,,200.0,0.0,
1999-0449-TUR,Ground movement,,TUR,7.2,1999/11/12,845.0,4948.0,55000.0,165000.0,224948.0,0.0,
1999-0455-CHN,Ground movement,,CHN,5.6,1999/11/1,,4.0,20000.0,3000000.0,3020004.0,0.0,
1999-0524-VUT,Ground movement,,VUT,7.5,1999/11/27,12.0,100.0,2000.0,12000.0,14100.0,0.0,
1999-0553-CHN,Ground movement,,CHN,5.0,1999/11/29,,,,800.0,800.0,0.0,
1999-0561-DZA,Ground movement,,DZA,5.6,1999/12/22,22.0,175.0,15000.0,,15175.0,0.0,
1999-0568-IDN,Ground movement,,IDN,6.5,1999/12/21,5.0,220.0,2700.0,14000.0,16920.0,0.0,
1999-0587-IRN,Ground movement,,IRN,5.3,1999/11/26,,,,250.0,250.0,0.0,
1999-0601-RUS,Ground movement,,RUS,6.5,1999/2/21,1.0,20.0,5000.0,,5020.0,0.0,
1999-0638-ESP,Ground movement,,ESP,6.2,1999/2/2,,20.0,,,20.0,0.0,
1999-0639-GTM,Ground movement,,GTM,6.7,1999/7/11,2.0,40.0,35.0,205.0,280.0,0.0,
1999-0644-PHL,Ground movement,,PHL,7.3,1999/12/12,6.0,40.0,,150.0,190.0,0.0,
2000-0023-BGD,Ground movement,USGS:usp0009khm,BGD,4.3,2000/1/2,,,,1000.0,1000.0,0.0,33.0
2000-0033-CHN,Ground movement,USGS:usp0009m4u,CHN,5.9,2000/1/14,7.0,2528.0,92479.0,1760000.0,1855007.0,0.0,33.0
2000-0036-CHN,Ground movement,USGS:usp0009mq6,CHN,4.9,2000/1/26,1.0,2.0,,10300.0,10302.0,0.0,33.0
2000-0041-CHN,Ground movement,USGS:usp0009m1j,CHN,5.1,2000/1/11,,30.0,18000.0,44000.0,62030.0,0.0,10.0
2000-0051-IRN,Ground movement,USGS:usp0009mz6,IRN,5.3,2000/2/2,1.0,15.0,500.0,1500.0,2015.0,0.0,33.0
2000-0065-IRN,Ground movement,USGS:usp0009ne8,IRN,4.9,2000/2/14,,,,1000.0,1000.0,0.0,33.0
2000-0076-ISL,Ground movement,USGS:usp0009ux8,ISL,6.5,2000/6/21,,,36.0,72.0,108.0,1.0,10.0
2000-0081-COL,Ground movement,USGS:usp000a373,COL,6.5,2000/11/8,2.0,,,430.0,430.0,0.0,17.0
2000-0111-MEX,Ground movement,USGS:usp0009y65,MEX,6.5,2000/8/9,,1.0,,,1.0,0.0,45.8
2000-0230-IDN,Ground movement,USGS:usp0009sbh,IDN,7.6,2000/5/4,45.0,270.0,52500.0,,52770.0,0.0,26.0
2000-0272-TUR,Ground movement,USGS:usp0009ska,TUR,4.5,2000/5/7,1.0,,,1000.0,1000.0,0.0,5.4
2000-0291-TUR,Ground movement,USGS:usp0009u3d,TUR,6.0,2000/6/6,2.0,80.0,,23000.0,23080.0,0.0,10.0
2000-0293-IDN,Ground movement,USGS:usp0009txx,IDN,6.7,2000/6/4,103.0,2714.0,2000.0,200000.0,204714.0,0.0,33.0
2000-0298-CHN,Ground movement,USGS:usp0009u46,CHN,5.6,2000/6/6,,20.0,80.0,,100.0,0.0,10.0
2000-0303-GRC,Ground movement,USGS:usp0009tg5,GRC,5.6,2000/5/26,,,,600.0,600.0,0.0,0.0
2000-0335-ISL,Ground movement,USGS:usp0009urh,ISL,6.5,2000/6/17,,1.0,33.0,57.0,91.0,1.0,10.0
2000-0387-NIC,Ground movement,USGS:usp0009vy1,NIC,5.4,2000/7/6,7.0,42.0,5650.0,1785.0,7477.0,0.0,33.0
2000-0428-JPN,Ground movement,USGS:usp0009vhb,JPN,6.1,2000/7/1,1.0,,,100.0,100.0,1.0,10.0
2000-0449-IDN,Ground movement,USGS:usp0009w9p,IDN,5.4,2000/7/12,,124.0,4000.0,,4124.0,0.0,33.0
